=========================================================================================================================================================
Profit/loss report for EURPLN W1; transaction every BUY/SELL signal (at least W1 apart, if bought, need to be sold).
Buy date: 2005-10-30 | Buy price: 3.89       | Sell date: 2005-12-25 | Sell price: 3.87       | Profit: -25.90     -0.665 % | Duration: 56 days 00:00:00
Buy date: 2019-07-28 | Buy price: 4.25       | Sell date: 2019-10-13 | Sell price: 4.32       | Profit: 68.53      1.612  % | Duration: 77 days 00:00:00
Buy date: 2020-02-02 | Buy price: 4.26       | Sell date: 2020-05-31 | Sell price: 4.51       | Profit: 254.61     5.979  % | Duration: 119 days 00:00:00
Buy date: 2020-09-20 | Buy price: 4.45       | Sell date: 2020-11-29 | Sell price: 4.47       | Profit: 14.49      0.325  % | Duration: 70 days 00:00:00
Buy date: 2021-03-07 | Buy price: 4.52       | Sell date: 2021-04-18 | Sell price: 4.53       | Profit: 9.81       0.217  % | Duration: 42 days 00:00:00
Buy date: 2021-07-18 | Buy price: 4.55       | Sell date: 2021-09-12 | Sell price: 4.51       | Profit: -40.34     -0.887 % | Duration: 56 days 00:00:00
Buy date: 2021-09-19 | Buy price: 4.54       | Sell date: 2021-12-19 | Sell price: 4.62       | Profit: 76.51      1.684  % | Duration: 91 days 00:00:00
Buy date: 2022-03-06 | Buy price: 4.64       | Sell date: 2022-04-24 | Sell price: 4.64       | Profit: 2.16       0.047  % | Duration: 49 days 00:00:00
Buy date: 2022-05-08 | Buy price: 4.67       | Sell date: 2022-05-22 | Sell price: 4.69       | Profit: 17.49      0.374  % | Duration: 14 days 00:00:00
Buy date: 2022-07-03 | Buy price: 4.69       | Sell date: 2022-08-14 | Sell price: 4.71       | Profit: 19.75      0.421  % | Duration: 42 days 00:00:00
Buy date: 2022-08-21 | Buy price: 4.66       | Sell date: 2022-09-18 | Sell price: 4.69       | Profit: 31.89      0.684  % | Duration: 28 days 00:00:00
Buy date: 2022-09-25 | Buy price: 4.72       | Sell date: 2022-10-30 | Sell price: 4.78       | Profit: 57.93      1.228  % | Duration: 35 days 00:00:00
Buy date: 2023-01-22 | Buy price: 4.69       | Sell date: 2023-04-02 | Sell price: 4.69       | Profit: -5.84      -0.124 % | Duration: 70 days 00:00:00
Buy date: 2023-07-23 | Buy price: 4.45       | Sell date: 2023-10-29 | Sell price: 4.46       | Profit: 8.64       0.194  % | Duration: 98 days 00:00:00
=========================================================================================================================================================
Total earnings: 3687.68 generated using 3894 units of borrowed capital, which needs to be returned
Return on Investment ROI: -5.289%


